"ruleset","attackerId","attacker","targetId","target","mode","condition","expectedHits","expectedDamage","destroyProbability","statusProbability","pdfExpectedDamage","pdfDestroyProbability"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","gobelins-troupe-de-gobelins","Bande de Gobelins","melee","Profil sans bonus","1.00000000","1.00000000","0.25000000","0.00000000","1.00000000","0.25000000"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","gobelins-archers-gobelins","Archers Gobelins","melee","Profil sans bonus","1.33333333","0.88888889","0.88888889","0.00000000","0.88888889","0.88888889"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","gobelins-shaman-gobelin","Shamans Gobelins","melee","Profil sans bonus","1.33333333","0.88888889","0.88888889","0.00000000","0.88888889","0.88888889"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","gobelins-chevaucheurs-de-skrans-gobelins","Chevaucheurs de Skrans Gobelins","melee","Profil sans bonus","1.00000000","1.00000000","0.25000000","0.00000000","1.00000000","0.25000000"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","gobelins-katapult-a-gobs","Katapult à gobs","melee","Profil sans bonus","1.33333333","0.88888889","0.88888889","0.00000000","0.88888889","0.88888889"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","gobelins-meneurs-de-troll","Trolls","melee","Profil sans bonus","0.33333333","0.33333333","0.02777778","0.00000000","0.33333333","0.02777778"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","gobelins-bon-gros-tarre-de-gobelin","Gros tarrés de gobelins","melee","Profil sans bonus","1.33333333","0.88888889","0.88888889","0.00000000","0.88888889","0.88888889"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","gobelins-bande-du-chef","Bande du chef","melee","Profil sans bonus","0.66666667","0.66666667","0.00000000","0.00000000","0.66666667","0.00000000"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","gobelins-le-danzereu","Le Danzereu","melee","Profil sans bonus","1.33333333","0.88888889","0.88888889","0.00000000","0.88888889","0.88888889"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","gobelins-blop-le-meuteur","Blop, le Meuteur","melee","Profil sans bonus","1.00000000","1.00000000","0.00000000","0.00000000","1.00000000","0.00000000"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","sephosi-lanciers-sephosiens","Lanciers Sephosiens","melee","Profil sans bonus","0.33333333","0.33333333","0.00000000","0.00000000","0.33333333","0.00000000"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","sephosi-epeistes-sephosiens","Epéistes Sephosiens","melee","Profil sans bonus","0.66666667","0.66666667","0.00000000","0.00000000","0.66666667","0.00000000"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","sephosi-arbaletriers-avec-pavois","Arbalétriers Sephosiens","melee","Profil sans bonus","1.33333333","1.33333333","0.44444444","0.00000000","1.33333333","0.44444444"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","sephosi-cavalerie-lourde-sephosienne","Cavalerie lourde Sephosienne","melee","Profil sans bonus","0.66666667","0.66666667","0.11111111","0.00000000","0.66666667","0.11111111"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","sephosi-arbaletriers-montes-sephosiens","Arbalétriers Montés","melee","Profil sans bonus","1.33333333","0.88888889","0.88888889","0.00000000","0.88888889","0.88888889"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","sephosi-balistes-sephosiennes","Balistes Sephosiennes","melee","Profil sans bonus","1.33333333","0.88888889","0.88888889","0.00000000","0.88888889","0.88888889"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","sephosi-anges-protecteurs-de-la-sephosi","Anges Protecteurs de la Sephosi","melee","Profil sans bonus","0.66666667","0.66666667","0.11111111","0.00000000","0.66666667","0.11111111"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","sephosi-aides-de-camp-sephosiens","Porte-ordres Sephosiens","melee","Profil sans bonus","1.33333333","0.88888889","0.88888889","0.00000000","0.88888889","0.88888889"
"adrien-01-sans-relances-tableau","gobelins-troupe-de-gobelins","Bande de Gobelins","sephosi-marechal-vallardi","Maréchal Vallardi","melee","Profil sans bonus","1.33333333","0.88888889","0.88888889","0.00000000","0.88888889","0.88888889"
